"","X","band.number","Nest","Clutch","Pre","Track","Feather","Sex","pb","WCrate","GCrate","WCSPprop","WCAmp","GCAmp","PropAmp"
"1",1,"1801-48104",1741,4,0,0,10.3,"M","WCSP",0,314,0,0,0.011792228,0
"2",2,"1801-48121",1739,4,12,25,3.5,"M","WCSP",0.25,10,0.024390243902439,0,0.007518512,0
"3",3,"1951-08701",1702,4,10,1,8.8,"M","WCSP",7.25,839.25,0.0160843039378813,1.4e-05,0.001146303,0.0122131757484714
"4",4,"1951-08708",1710,5,9,67,11.9,"M","WCSP",130,848,0.132924335378323,0.014558677,0.021924677,0.6640315385262
"5",5,"1951-08717",1705,4,2,0,7.3,"F","WCSP",0,438,0,0,0.016020033,0
"6",6,"1951-08719",1705,4,0,0,4.6,"M","WCSP",0,438,0,0,0.016020033,0
"7",7,"1951-08725",1706,4,0,31,11.3,"M","WCSP",0.25,164.5,0.00151745068285281,0,0.003015365,0
"8",8,"1951-08727",1706,4,0,11,13.4,"F","WCSP",0.25,164.5,0.00151745068285281,0,0.003015365,0
"9",9,"1951-08729",1728,3,0,1,16.7,"F","WCSP",40.25,193,0.172561629153269,0.015787746,0.01703709,0.926669167093676
"10",10,"1951-08733",1724,4,0,0,12.5,"F","WCSP",0,397.75,0,0,0.001087357,0
"11",11,"1951-08735",1724,4,0,0,10.3,"M","WCSP",0,397.75,0,0,0.001087357,0
"12",12,"1951-08743",1708,3,0,0,10.5,"M","WCSP",32.5,761.5,0.0409319899244332,0.036094407,0.012839622,2.81117364670081
"13",13,"1951-08745",1727,3,12,22,14.7,"F","WCSP",0,471.75,0,0,0.019875341,0
"14",14,"1951-08747",1747,4,0,0,18.1,"F","WCSP",13,716.5,0.0178204249485949,0.011640943,0.01256939,0.926134283366178
"15",15,"1951-08749",1747,4,0,0,16.9,"F","WCSP",13,716.5,0.0178204249485949,0.011640943,0.01256939,0.926134283366178
"16",16,"1951-08751",1703,5,0,0,10.6,"F","WCSP",70,680.5,0.0932711525649567,0.042239401,0.016296506,2.59192988975674
"17",17,"1951-08753",1703,5,0,0,7.9,"M","WCSP",70,680.5,0.0932711525649567,0.042239401,0.016296506,2.59192988975674
"18",18,"1951-08755",1703,5,0,0,10.3,"F","WCSP",70,680.5,0.0932711525649567,0.042239401,0.016296506,2.59192988975674
"19",19,"1951-08757",1752,4,0,6,9.9,"F","WCSP",153.25,914.25,0.144693782141187,0.492377027,0.09547489,5.15713636328882
"20",20,"1951-08759",1752,4,1,20,5,"F","WCSP",153.25,914.25,0.144693782141187,0.492377027,0.09547489,5.15713636328882
"21",21,"1951-08761",1719,6,0,48,11.6,"F","WCSP",0,639,0,0,0.004233439,0
"22",22,"1951-08763",1719,6,13,81,10.9,"F","WCSP",0,639,0,0,0.004233439,0
"23",23,"1951-08765",1719,6,0,0,10.8,"F","WCSP",0,639,0,0,0.004233439,0
